Start(s),0.0006692
Increment(s),9.999999e-08
CH1(V),CH2(V)
-0.2,-1.68
-0.14,-1.74
-0.18,-1.68
-0.24,-1.72
-0.2,-1.68
-0.26,-1.74
-0.22,-1.72
-0.28,-1.66
-0.24,-1.72
-0.3,-1.66
-0.26,-1.72
-0.32,-1.66
-0.28,-1.72
-0.34,-1.66
-0.3,-1.7
-0.36,-1.66
-0.32,-1.7
-0.38,-1.66
-0.34,-1.7
-0.4,-1.64
-0.36,-1.7
-0.42,-1.64
-0.4,-1.7
-0.44,-1.64
-0.4,-1.64
-0.46,-1.7
-0.42,-1.64
-0.48,-1.7
-0.44,-1.68
-0.5,-1.64
-0.46,-1.64
-0.52,-1.7
-0.48,-1.68
-0.54,-1.62
-0.5,-1.68
-0.54,-1.62
-0.52,-1.68
-0.58,-1.62
-0.52,-1.68
-0.58,-1.62
-0.54,-1.62
-0.6,-1.68
-0.56,-1.62
-0.62,-1.68
-0.58,-1.62
-0.64,-1.68
-0.6,-1.62
-0.64,-1.66
-0.62,-1.62
-0.66,-1.66
-0.62,-1.66
-0.68,-1.6
-0.64,-1.66
-0.68,-1.6
-0.66,-1.66
-0.7,-1.6
-0.66,-1.66
-0.72,-1.6
-0.68,-1.6
-0.74,-1.66
-0.74,-1.64
-0.7,-1.6
-0.72,-1.6
-0.76,-1.64
-0.72,-1.64
-0.78,-1.6
-0.74,-1.64
-0.78,-1.58
-0.76,-1.6
-0.8,-1.64
-0.8,-1.64
-0.76,-1.58
-0.78,-1.64
-0.82,-1.58
-0.78,-1.58
-0.84,-1.64
-0.8,-1.58
-0.84,-1.64
-0.82,-1.58
-0.86,-1.64
-0.82,-1.64
-0.88,-1.58
-0.84,-1.58
-0.9,-1.64
-0.84,-1.62
-0.9,-1.58
-0.86,-1.62
-0.9,-1.58
-0.86,-1.58
-0.92,-1.62
-0.88,-1.62
-0.92,-1.56
-0.9,-1.58
-0.94,-1.62
-0.9,-1.58
-0.96,-1.62
-0.92,-1.58
-0.96,-1.62
-0.92,-1.62
-0.98,-1.56
-0.92,-1.62
-0.98,-1.56
-0.94,-1.56
-0.98,-1.62
-0.96,-1.6
-1,-1.56
-0.96,-1.56
-1,-1.62
-0.98,-1.6
-1.02,-1.56
-0.98,-1.6
-1.02,-1.56
-0.98,-1.56
-1.02,-1.6
-1,-1.6
-1.04,-1.56
-1,-1.6
-1.04,-1.54
-1,-1.6
-1.06,-1.56
-1.06,-1.6
-1,-1.54
-1.02,-1.6
-1.08,-1.54
-1.08,-1.6
-1.02,-1.54
-1.08,-1.54
-1.04,-1.6
-1.04,-1.6
-1.1,-1.54
-1.06,-1.54
-1.1,-1.6
-1.06,-1.6
-1.1,-1.54
-1.12,-1.54
-1.06,-1.6
-1.08,-1.54
-1.12,-1.6
-1.08,-1.54
-1.14,-1.6
-1.08,-1.54
-1.14,-1.6
-1.14,-1.58
-1.1,-1.54
-1.1,-1.54
-1.16,-1.58
-1.12,-1.58
-1.16,-1.54
-1.16,-1.54
-1.12,-1.58
-1.12,-1.54
-1.18,-1.58
-1.16,-1.58
-1.12,-1.54
-1.14,-1.58
-1.18,-1.52
-1.18,-1.58
-1.14,-1.52
-1.18,-1.58
